"","unit_id","isp","technology","advertised.down","advertised.up","tz.offset","tz.offset.dst","state","region","medianUp","medianDown","medianLatency","medianJitterUp","medianJitterDown","medianLossUp","medianLossDown","medianLoss"
"1114",7774,"CenturyLink","DSL",20,0.896,-6,-5,"NE","MIDWEST",91799,1784928.5,40508,2206,888,1,1,0
"1115",7776,"Frontier","FIBER",25,10,-6,-5,"IN","MIDWEST",1501649.5,3168502.5,12828,1296,796,1,1,0
"1116",7777,"Time Warner Cable","CABLE",100,10,-8,-7,"CA","WEST",1342924.5,12931136.5,16412,1861,773,1,1,0
"1117",7778,"Comcast","CABLE",50,5,-8,-7,"CA","WEST",741375.5,7444744,12088,1887,784,1,1,0
"1118",7780,"Frontier","DSL",1,0.192,-6,-5,"MN","MIDWEST",18184,109827.5,47528,2353,1570,0.996,1,1.81132086935301
"1119",7781,"Time Warner Cable","CABLE",15,1,-5,-4,"NC","SOUTH",132014,2009029.5,23440.5,4274.5,926,1,1,0
"1120",7785,"Comcast","CABLE",25,5,-5,-4,"GA","SOUTH",239187,3650506,23026,2486.5,950,1,1,0
"1121",7786,"Comcast","CABLE",25,5,-7,-6,"NM","WEST",735806,3634215.5,37447,1682.5,857,1,1,0
"1122",7789,"Cox","CABLE",25,5,-8,-7,"CA","WEST",654809,3811369.5,10396,1834,835,1,1,0
"1123",7795,"CenturyLink","DSL",20,0.896,-7,-7,"AZ","WEST",103697,2487353.5,32296.5,1420,869.5,1,1,0
"1124",7796,"Cox","CABLE",50,5,-7,-7,"AZ","WEST",654177.5,6829629,21081.5,1656.5,777,1,1,0
"1125",7797,"Cox","CABLE",50,5,-7,-7,"AZ","WEST",669956,6880183,21559.5,2072,886,1,1,0
"1126",7803,"Comcast","CABLE",50,10,-8,-7,"WA","WEST",1488395.5,7349802,27955,2217,789,1,1,0
"1127",7804,"AT&T","DSL",1.5,0.384,-6,-5,"IN","MIDWEST",38289,158508,18224.5,1553.5,925,1,1,0.486975833772491
"1128",7805,"Comcast","CABLE",50,10,-6,-5,"AZ","WEST",1490125,7343330,31162,3006.5,880,1,1,0
"1129",7808,"Time Warner Cable","CABLE",15,1,-10,-10,"HI","WEST",144221,2011416,62146,3431,912,1,1,0.0505305709954523
"1130",7810,"Charter","CABLE",60,4,-5,-4,"GA","SOUTH",530296,8001977,24165,2533,785,1,1,0.0497017892644135
"1131",7811,"Frontier","FIBER",20,5,-8,-7,"OR","WEST",578907.5,2382582,25019,1589,1844,1,1,0
"1132",7813,"Comcast","CABLE",50,10,-5,-4,"FL","SOUTH",1488433,7253198,36938,3620,951,1,1,0
"1133",7814,"Time Warner Cable","CABLE",50,5,-5,-4,"NY","NORTHEAST",668791,6708694.5,14212,5213.5,854,1,1,0.0590318772136954
"1134",7818,"Time Warner Cable","CABLE",15,1,-6,-5,"WI","MIDWEST",132255,2011391.5,15948,3036,907,1,1,0
"1135",7821,"AT&T","DSL",18,1.5,-6,-5,"IL","MIDWEST",236161,2850118,21882,1235,871,1,1,0
"1136",7826,"AT&T","DSL",12,1.5,-5,-4,"GA","SOUTH",235124.5,1892511,39335,1852,1171,1,1,0
"1137",7835,"CenturyLink","DSL",20,5,-6,-5,"NE","MIDWEST",595481,2484172,35649,1213,879,1,1,0
"1138",7840,"Brighthouse","CABLE",10,1,-5,-4,"FL","SOUTH",151675.5,1417363,35537.5,1750,963.5,1,1,0
"1139",7842,"Verizon","FIBER",50,50,-5,-4,"MA","NORTHEAST",7925581,7245517.5,17469.5,1640,1832,1,1,0
"1140",7846,"AT&T","DSL",3,0.384,-5,-4,"NC","SOUTH",39875,351605.5,64317,2142.5,861,1,1,0
"1141",7847,"Charter","CABLE",60,4,-5,-4,"NC","SOUTH",530872,8173959.5,28257,6005.5,816.5,1,1,0
"1142",7849,"CenturyLink","DSL",3,0.64,-5,-4,"NC","SOUTH",49174.5,371524.5,29861,1567,962,1,1,0
"1143",7851,"CenturyLink","DSL",20,0.896,-6,-5,"MN","MIDWEST",92699.5,2064995.5,29371,1464,917,1,1,0
"1144",7853,"Comcast","CABLE",25,5,-6,-5,"MN","MIDWEST",739827.5,3623638,34176,2943,789,1,1,0
"1145",7855,"Hughes","SATELLITE",10,1,-5,-4,"NC","SOUTH",147608,1256693,1322135,260269,20679,1,1,0.099403578528827
"1146",7864,"Cox","CABLE",25,5,-5,-4,"VA","SOUTH",654060.5,3188873.5,9909,1664,830,1,1,0
"1147",7865,"AT&T","DSL",6,1,-5,-4,"GA","SOUTH",52081.5,713536,26708.5,1793,805,1,0.998,0.593203553466611
"1148",7866,"Cox","CABLE",50,5,-7,-7,"AZ","WEST",653648.5,6860668.5,21323,1726,866,1,1,0
"1149",7868,"AT&T","DSL",45,6,-6,-5,"TX","SOUTH",699516,4530966.5,22661,1695,1100,1,1,0
"1150",7875,"AT&T","DSL",1.5,0.384,-6,-5,"MO","MIDWEST",43943.5,70108,41792.5,2043,1376.5,1,1,0
"1151",7878,"Comcast","CABLE",105,10,-6,-5,"NH","NORTHEAST",1489439.5,13099987.5,17205.5,2007,849.5,1,1,0
"1152",7879,"Verizon","FIBER",150,150,-5,-4,"VA","SOUTH",16419282.5,18565346.5,4124.5,1312,741,1,1,0
"1153",7880,"AT&T","DSL",18,1.5,-5,-4,"MI","MIDWEST",234054,2848872.5,28244.5,1272,870,1,1,0
"1154",7885,"Charter","CABLE",30,4,-8,-7,"CA","WEST",531182.5,3894633,14112,2563,808,1,1,0
"1155",7890,"Brighthouse","CABLE",60,5,-8,-7,"CA","WEST",716362,8505756,17240.5,2118,887,1,1,0
"1156",7891,"AT&T","DSL",3,0.384,-6,-5,"IL","MIDWEST",50731,312575.5,59878,1938,911,1,1,0.0564015792442188
"1157",7892,"Comcast","CABLE",105,20,-5,-4,"MI","MIDWEST",2992844.5,12712543,19905,2866,902,1,1,0
