"","technology","costBracket","V1","unit_id","isp","advertised.down","advertised.up","tz.offset","tz.offset.dst","state","region","medianUp","medianDown","medianLatency","medianJitterUp","medianJitterDown","medianLossUp","medianLossDown","medianLoss","monthly.charge","sampleFreq","sampleWeight","weight","sampleWeight.normalized","popWeight.normalized"
"2612","CABLE",80,"2221",11555,"Charter",15,3,-5,-4,"MI","MIDWEST",400352,2147329.5,16188,2907.5,960.5,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2613","CABLE",80,"2228",11582,"Charter",15,3,-8,-7,"OR","WEST",403550.5,1946249,54706,2740,778,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2614","CABLE",80,"2327",12062,"Charter",15,3,-8,-7,"CA","WEST",402554.5,1946360.5,15452.5,2527,787,1,1,0,48.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2615","CABLE",80,"2329",12065,"Charter",15,3,-6,-5,"TN","SOUTH",400738,1969957.5,42451.5,2645.5,1020,1,1,0,48.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2616","CABLE",80,"2330",12066,"Charter",15,3,-6,-5,"WI","MIDWEST",401587.5,1978519,18305,1531,847,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2617","CABLE",80,"2338",12089,"Charter",15,3,-6,-5,"TN","SOUTH",401495.5,1964413,39940,2449,894,1,1,0,48.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2618","CABLE",80,"2345",12115,"Charter",15,3,-6,-5,"MN","MIDWEST",398934.5,1945548.5,27048,2127,871.5,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2619","CABLE",80,"2349",12120,"Cablevision",50,25,-5,-4,"NY","NORTHEAST",3569492.5,7337660,11413,2023,954,1,1,0,76.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2620","CABLE",80,"2362",12165,"Charter",15,3,-6,-5,"TN","SOUTH",397981,1945869,42266,2548,1062,1,1,0.0851737497367209,48.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2621","CABLE",80,"2363",12166,"Charter",15,3,-5,-4,"SC","SOUTH",401877.5,1946329,25114.5,2673.5,816,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2622","CABLE",80,"2364",12173,"Charter",15,3,-6,-5,"LA","SOUTH",92881.5,1949892.5,39571.5,1757,816,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2623","CABLE",80,"2368",12179,"Charter",15,3,-8,-7,"OR","WEST",398019,1944602.5,41111,1732,990,1,1,0,48.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2624","CABLE",80,"2374",12196,"Charter",15,3,-5,-4,"NC","SOUTH",401597.5,1946128,31241.5,1943.5,839,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2625","CABLE",80,"2376",12209,"Charter",15,3,-6,-5,"WI","MIDWEST",401282,2060515,20025,2454,817,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2626","CABLE",80,"2410",12362,"Charter",15,3,-5,-4,"GA","SOUTH",402464,1946309,23013,3262.5,833,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2627","CABLE",80,"2416",12386,"Charter",15,3,-6,-5,"TX","SOUTH",401830,1946157.5,14399,3598,804,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2628","CABLE",80,"2417",12387,"Charter",15,3,-5,-4,"SC","SOUTH",401915,1946330,24922,2898,803,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2629","CABLE",80,"2421",12394,"Charter",15,3,-5,-4,"MI","MIDWEST",399019,1944067,27441.5,4037,874,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2630","CABLE",80,"2429",12430,"Charter",15,3,-8,-7,"WA","WEST",399382,1944898.5,27880,1888,870,1,1,0,48.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2631","CABLE",80,"2440",12472,"Charter",15,3,-6,-5,"WI","MIDWEST",402009,2058605,22562.5,1519.5,919,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2632","CABLE",80,"2441",12478,"Time Warner Cable",20,5,-8,-7,"CA","WEST",703082,3356780,15608,2604,772,1,1,0,67.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
